query,symbol,notfound
ENSG00000183019,MCEMP1,
ENSG00000022267,FHL1,
ENSG00000102683,SGCG,
ENSG00000112782,CLIC5,
ENSG00000164466,SFXN1,
ENSG00000076382,SPAG5,
ENSG00000105974,CAV1,
ENSG00000248243,LINC02014,
ENSG00000179133,C10orf67,
ENSG00000073754,CD5L,
ENSG00000150625,GPM6A,
ENSG00000140600,SH3GL3,
ENSG00000224215,LOC105376453,
ENSG00000164855,TMEM184A,
ENSG00000108576,SLC6A4,
ENSG00000072163,LIMS2,
ENSG00000246430,LINC00968,
ENSG00000166123,GPT2,
ENSG00000135052,GOLM1,
ENSG00000268505,,
ENSG00000251230,MIR3945HG,
ENSG00000094963,FMO2,
ENSG00000064989,CALCRL,
ENSG00000011426,ANLN,
ENSG00000169252,ADRB2,
ENSG00000135604,STX11,
ENSG00000099953,MMP11,
ENSG00000134917,ADAMTS8,
ENSG00000213853,EMP2,
ENSG00000035499,DEPDC1B,
ENSG00000235385,LINC02154,
ENSG00000184661,CDCA2,
ENSG00000183010,PYCR1,
ENSG00000176771,NCKAP5,
ENSG00000164736,SOX17,
ENSG00000136160,EDNRB,
ENSG00000114790,ARHGEF26,
ENSG00000126787,DLGAP5,
ENSG00000180198,RCC1,
ENSG00000165304,MELK,
ENSG00000120903,CHRNA2,
ENSG00000111206,FOXM1,
ENSG00000249751,ECSCR,
ENSG00000215595,C20orf202,
ENSG00000180440,SERTM1,
ENSG00000162757,C1orf74,
ENSG00000085552,IGSF9,
ENSG00000266964,FXYD1,
ENSG00000204305,AGER,
ENSG00000158435,CNOT11,
ENSG00000118322,ATP10B,
ENSG00000114854,TNNC1,
ENSG00000177788,LOC105373159,
ENSG00000171877,FRMD5,
ENSG00000161888,SPC24,
ENSG00000135451,TROAP,
ENSG00000110660,SLC35F2,
ENSG00000105173,CCNE1,
ENSG00000260908,,
ENSG00000183856,IQGAP3,
ENSG00000169744,LDB2,
ENSG00000151718,WWC2,
ENSG00000142748,FCN3,
ENSG00000111665,CDCA3,
